일시,평균 오존전량(DU),오존위험지수
2016-01-01,354.9,
2016-01-02,365.5,
2016-01-03,373.2,
2016-01-04,339.8,
2016-01-05,269.9,
2016-01-06,281.8,
2016-01-07,298.7,
2016-01-08,306.3,
2016-01-09,320.1,
2016-01-10,314.9,
2016-01-11,332.3,
2016-01-12,325.6,
2016-01-13,304.2,
2016-01-14,309.6,
2016-01-15,335.5,
2016-01-16,324.6,
2016-01-17,328.8,
2016-01-18,300.8,
2016-01-19,308.2,
2016-01-20,303.8,
2016-01-21,328.6,
2016-01-22,372.4,
2016-01-23,365.7,
2016-01-24,349.4,
2016-01-25,332.7,
2016-01-26,350,
2016-01-27,379.1,
2016-01-28,377.5,
2016-01-29,320.7,
2016-01-30,336.3,
2016-01-31,314.7,
2016-02-01,308.3,
2016-02-02,346.7,
2016-02-03,359.2,
2016-02-04,410.7,
2016-02-05,471.2,
2016-02-06,436.4,
2016-02-07,387.8,
2016-02-08,358.2,
2016-02-09,407.7,
2016-02-10,437.3,
2016-02-11,408.7,
2016-02-12,424.3,
2016-02-13,430.2,
2016-02-14,395.8,
2016-02-15,361.4,
2016-02-16,370.8,
2016-02-17,347,
2016-02-18,363.7,
2016-02-19,354.7,
2016-02-20,329.5,
2016-02-21,348.6,
2016-02-22,355.8,
2016-02-23,378.1,
2016-02-24,417.8,
2016-02-25,366.1,
2016-02-26,398.9,
2016-02-27,373.5,
2016-02-28,326,
2016-03-01,360.3,
2016-03-02,399.9,
2016-03-03,416.6,
2016-03-04,377.5,
2016-03-05,362.7,
2016-03-06,335.1,
2016-03-07,354.9,
2016-03-08,356.9,
2016-03-09,400.4,
2016-03-10,415.7,
2016-03-11,409.8,
2016-03-12,449.8,
2016-03-13,447.6,
2016-03-14,380.3,
2016-03-15,358.1,
2016-03-16,384.6,
2016-03-17,360.9,
2016-03-18,345.8,
2016-03-19,327.2,
2016-03-20,325.1,
2016-03-21,358.8,
2016-03-22,395,
2016-03-23,399.5,
2016-03-24,412.5,
2016-03-25,391,
2016-03-26,402.9,
2016-03-27,418.9,
2016-03-28,361.3,
2016-03-29,381.6,
2016-03-30,359.2,
2016-03-31,370.7,
2016-04-01,330.1,
2016-04-02,332.7,
2016-04-03,340.3,
2016-04-04,337.1,
2016-04-05,310.8,
2016-04-06,323.9,
2016-04-07,318.8,
2016-04-08,336.7,
2016-04-09,352.4,
2016-04-10,345.7,
2016-04-11,355,
2016-04-12,335.2,
2016-04-13,370.9,
2016-04-14,464.2,
2016-04-15,399.8,
2016-04-16,373.1,
2016-04-17,382.7,
2016-04-18,354.1,
2016-04-19,365.9,
2016-04-20,318.8,
2016-04-21,348.4,
2016-04-22,402.3,
2016-04-23,389,
2016-04-24,397.1,
2016-04-25,409.4,
2016-04-26,389.5,
2016-04-27,379.2,
2016-04-28,371.4,
2016-04-29,360.5,
2016-04-30,337.5,
2016-05-01,311.1,
2016-05-02,304.7,
2016-05-03,310.4,
2016-05-04,332.8,
2016-05-05,350.6,
2016-05-06,370.3,
2016-05-07,389.5,
2016-05-08,369.1,
2016-05-09,370.3,
2016-05-10,358.4,
2016-05-11,339.9,
2016-05-12,369.9,
2016-05-13,377.3,
2016-05-14,347,
2016-05-15,326.7,
2016-05-16,332.1,
2016-05-17,330.4,
2016-05-18,334.4,
2016-05-19,376.8,
2016-05-20,415.3,
2016-05-21,341.5,
2016-05-22,345.3,
2016-05-23,336.7,
2016-05-24,350.5,
2016-05-25,343.7,
2016-05-26,330.3,
2016-05-27,327.3,
2016-05-28,325.3,
2016-05-29,302.7,
2016-05-30,310.7,
2016-05-31,335.1,
2016-06-01,335.2,
2016-06-02,328.7,
2016-06-03,333.6,
2016-06-04,325,
2016-06-05,371.4,
2016-06-06,375.9,
2016-06-07,358.8,
2016-06-08,327.4,
2016-06-09,350.3,
2016-06-10,335.3,
2016-06-11,316.1,
2016-06-12,356.3,
2016-06-13,346.6,
2016-06-14,375.7,
2016-06-15,341.8,
2016-06-16,334.2,
2016-06-17,330,
2016-06-18,326.5,
2016-06-19,363,
2016-06-20,393.2,
2016-06-21,347.8,
2016-06-22,351.9,
2016-06-23,358,
2016-06-24,325.3,
2016-06-25,306.9,
2016-06-26,319.2,
2016-06-27,346.7,
2016-06-28,334.4,
2016-06-29,310.7,
2016-06-30,300.9,
2016-07-01,326.7,
2016-07-02,351,
2016-07-03,351.6,
2016-07-04,352.7,
2016-07-05,339.8,
2016-07-06,326.6,
2016-07-07,309.9,
2016-07-08,308.3,
2016-07-09,297.7,
2016-07-10,289,
2016-07-11,280.2,
2016-07-12,275.7,
2016-07-13,321.5,
2016-07-14,323.6,
2016-07-15,328.1,
2016-07-16,311.8,
2016-07-17,297.3,
2016-07-18,293.9,
2016-07-19,301.1,
2016-07-20,294.5,
2016-07-21,298.6,
2016-07-22,306.1,
2016-07-23,297.9,
2016-07-24,288.6,
2016-07-25,307.5,
2016-07-26,291.5,
2016-07-27,296.7,
2016-07-28,306.4,
2016-07-29,292.6,
2016-07-30,291.6,
2016-07-31,298.8,
2016-08-01,301.7,
2016-08-02,304.9,
2016-08-03,302.1,
2016-08-04,304.8,
2016-08-05,302.8,
2016-08-06,304.1,
2016-08-07,299.6,
2016-08-08,286.5,
2016-08-09,288.8,
2016-08-10,293.9,
2016-08-11,307.7,
2016-08-12,308.7,
2016-08-13,314.9,
2016-08-14,317.2,
2016-08-15,312.2,
2016-08-16,317.7,
2016-08-17,319.8,
2016-08-18,307.9,
2016-08-19,298.8,
2016-08-20,291.7,
2016-08-21,302.6,
2016-08-22,305.5,
2016-08-23,313.1,
2016-08-24,293.1,
2016-08-25,281,
2016-08-26,305.1,
2016-08-27,310.1,
2016-08-28,325.1,
2016-08-29,319,
2016-08-30,321.3,
2016-08-31,321.2,
2016-09-01,319.1,
2016-09-02,312.1,
2016-09-03,337.9,
2016-09-04,324.2,
2016-09-05,320.4,
2016-09-06,325.5,
2016-09-07,326.4,
2016-09-08,314.6,
2016-09-09,296.5,
2016-09-10,293.1,
2016-09-11,290.4,
2016-09-12,309.2,
2016-09-13,323.1,
2016-09-14,324.3,
2016-09-15,324,
2016-09-16,314,
2016-09-17,316.3,
2016-09-18,307,
2016-09-19,309.7,
2016-09-20,301.8,
2016-09-21,305.7,
2016-09-22,320,
2016-09-23,311.7,
2016-09-24,293.6,
2016-09-25,296,
2016-09-26,298.5,
2016-09-27,298.3,
2016-09-28,297.2,
2016-09-29,279.6,
2016-09-30,269.8,
2016-10-01,291,
2016-10-02,296.2,
2016-10-03,303.7,
2016-10-04,302.1,
2016-10-05,306.3,
2016-10-06,303.7,
2016-10-07,291.2,
2016-10-08,301,
2016-10-09,318.8,
2016-10-10,329.6,
2016-10-11,328.3,
2016-10-12,303,
2016-10-13,303.6,
2016-10-14,297.3,
2016-10-15,300.3,
2016-10-16,315,
2016-10-17,288.8,
2016-10-18,291.4,
2016-10-19,292,
2016-10-20,282.6,
2016-10-21,287.4,
2016-10-22,286.8,
2016-10-23,276,
2016-10-24,266.3,
2016-10-25,270.2,
2016-10-26,275.4,
2016-10-27,302.5,
2016-10-28,300.7,
2016-10-29,309.4,
2016-10-30,328.2,
2016-10-31,323.1,
2016-11-01,315.5,
2016-11-02,336.6,
2016-11-03,309.5,
2016-11-04,296.4,
2016-11-05,294.7,
2016-11-06,286.7,
2016-11-07,277.6,
2016-11-08,290.7,
2016-11-09,283.9,
2016-11-10,308,
2016-11-11,306.5,
2016-11-12,299.7,
2016-11-13,283.7,
2016-11-14,270.8,
2016-11-15,282,
2016-11-16,277.5,
2016-11-17,284.6,
2016-11-18,307.4,
2016-11-19,289.7,
2016-11-20,301.7,
2016-11-21,308.2,
2016-11-22,312.4,
2016-11-23,310.8,
2016-11-24,320.4,
2016-11-25,325.8,
2016-11-26,365.7,
2016-11-27,354.3,
2016-11-28,362.6,
2016-11-29,379.6,
2016-11-30,333.6,
2016-12-01,345.6,
2016-12-02,365.7,
2016-12-03,353.9,
2016-12-04,348.7,
2016-12-05,314.9,
2016-12-06,306.6,
2016-12-07,314.4,
2016-12-08,309.1,
2016-12-09,292.3,
2016-12-10,322.7,
2016-12-11,340,
2016-12-12,305.2,
2016-12-13,313.4,
2016-12-14,297.6,
2016-12-15,313.7,
2016-12-16,315.7,
2016-12-17,347,
2016-12-18,322.2,
2016-12-19,282,
2016-12-20,267.6,
2016-12-21,277.9,
2016-12-22,274.5,
2016-12-23,320.4,
2016-12-24,325.5,
2016-12-25,328.5,
2016-12-26,315.7,
2016-12-27,323.5,
2016-12-28,338.3,
2016-12-29,344.2,
2016-12-30,346,
2016-12-31,340.5,
