朝楼,矫档瘤开内靛,惯积扒荐(扒)
20170101,版合,673
20170102,版合,2508
20170103,版合,375
20170104,版合,3766
20170105,版合,2660
20170106,版合,2337
20170107,版合,2411
20170108,版合,2510
20170109,版合,1856
20170110,版合,311
20170111,版合,3332
20170112,版合,2328
20170113,版合,2235
20170114,版合,2205
20170115,版合,2483
20170116,版合,1792
20170117,版合,300
20170118,版合,3170
20170119,版合,1935
20170120,版合,2136
20170121,版合,2369
20170122,版合,2417
20170123,版合,1855
20170124,版合,288
20170125,版合,2972
20170126,版合,2312
20170127,版合,2124
20170128,版合,2242
20170129,版合,2006
20170130,版合,1993
20170131,版合,301
20170201,版合,3635
20170202,版合,2413
20170203,版合,2532
20170204,版合,2659
20170205,版合,3236
20170206,版合,2701
20170207,版合,391
20170208,版合,95
20170209,版合,458
20170210,版合,1831
20170211,版合,3757
20170212,版合,2800
20170213,版合,2468
20170214,版合,396
20170215,版合,3797
20170216,版合,2568
20170217,版合,2572
20170218,版合,2731
20170219,版合,2702
20170220,版合,2160
20170221,版合,372
20170222,版合,3726
20170223,版合,2745
20170224,版合,2541
20170225,版合,2752
20170226,版合,2843
20170227,版合,2077
20170228,版合,304
20170301,版合,930
20170302,版合,3012
20170303,版合,2339
20170304,版合,2282
20170305,版合,1941
20170306,版合,322
20170307,版合,2962
20170308,版合,2204
20170309,版合,1984
20170310,版合,2100
20170311,版合,2315
20170312,版合,1935
20170313,版合,358
20170314,版合,3399
20170315,版合,2293
20170316,版合,2252
20170317,版合,2383
20170318,版合,2540
20170319,版合,2314
20170320,版合,372
20170321,版合,3613
20170322,版合,2563
20170323,版合,2383
20170324,版合,2458
20170325,版合,2699
20170326,版合,2141
20170327,版合,367
20170328,版合,3549
20170329,版合,2546
20170330,版合,2390
20170331,版合,2468
20170401,版合,2973
20170402,版合,2100
20170403,版合,375
20170404,版合,3601
20170405,版合,2385
20170406,版合,2254
20170407,版合,2332
20170408,版合,2489
20170409,版合,1956
20170410,版合,355
20170411,版合,3517
20170412,版合,2340
20170413,版合,1332
20170414,版合,2638
20170415,版合,2396
20170416,版合,1990
20170417,版合,291
20170418,版合,3251
20170419,版合,2277
20170420,版合,2172
20170421,版合,2252
20170422,版合,2322
20170423,版合,1939
20170424,版合,380
20170425,版合,3284
20170426,版合,2339
20170427,版合,2138
20170428,版合,2470
20170429,版合,2434
20170430,版合,1974
20170501,版合,635
20170502,版合,3394
20170503,版合,2340
20170504,版合,2743
20170505,版合,643
20170506,版合,2360
20170507,版合,1626
20170508,版合,347
20170509,版合,3386
20170510,版合,2152
20170511,版合,2292
20170512,版合,2138
20170513,版合,2345
20170514,版合,861
20170515,版合,373
20170516,版合,3392
20170517,版合,2107
20170518,版合,1989
20170519,版合,1943
20170520,版合,2145
20170521,版合,1634
20170522,版合,280
20170523,版合,2973
20170524,版合,2036
20170525,版合,1888
20170526,版合,1984
20170527,版合,2062
20170528,版合,1574
20170529,版合,284
20170530,版合,2695
20170531,版合,1877
20170601,版合,2099
20170602,版合,1789
20170603,版合,2037
20170604,版合,1529
20170605,版合,261
20170606,版合,645
20170607,版合,2644
20170608,版合,1765
20170609,版合,1620
20170610,版合,1835
20170611,版合,1213
20170612,版合,241
20170613,版合,2254
20170614,版合,1529
20170615,版合,1543
20170616,版合,1506
20170617,版合,1548
20170618,版合,1132
20170619,版合,194
20170620,版合,2129
20170621,版合,1671
20170622,版合,1480
20170623,版合,1490
20170624,版合,1551
20170625,版合,1128
20170626,版合,188
20170627,版合,2125
20170628,版合,1479
20170629,版合,1465
20170630,版合,1366
20170701,版合,1570
20170702,版合,1154
20170703,版合,154
20170704,版合,1822
20170705,版合,1398
20170706,版合,1161
20170707,版合,1321
20170708,版合,1388
20170709,版合,955
20170710,版合,135
20170711,版合,1829
20170712,版合,1284
20170713,版合,1257
20170714,版合,1243
20170715,版合,1429
20170716,版合,926
20170717,版合,173
20170718,版合,1809
20170719,版合,1328
20170720,版合,1307
20170721,版合,1278
20170722,版合,1405
20170723,版合,974
20170724,版合,155
20170725,版合,1834
20170726,版合,1278
20170727,版合,1170
20170728,版合,1249
20170729,版合,1300
20170730,版合,794
20170731,版合,153
20170801,版合,1763
20170802,版合,1207
20170803,版合,1142
20170804,版合,1179
20170805,版合,1233
20170806,版合,798
20170807,版合,166
20170808,版合,1640
20170809,版合,1269
20170810,版合,1093
20170811,版合,1123
20170812,版合,1215
20170813,版合,816
20170814,版合,164
20170815,版合,388
20170816,版合,1712
20170817,版合,1131
20170818,版合,1200
20170819,版合,1316
20170820,版合,948
20170821,版合,217
20170822,版合,1708
20170823,版合,1248
20170824,版合,1240
20170825,版合,1292
20170826,版合,1440
20170827,版合,1087
20170828,版合,192
20170829,版合,2115
20170830,版合,1495
20170831,版合,1356
20170901,版合,1790
20170902,版合,1575
20170903,版合,1247
20170904,版合,206
20170905,版合,2215
20170906,版合,1523
20170907,版合,1606
20170908,版合,1694
20170909,版合,1809
20170910,版合,1491
20170911,版合,305
20170912,版合,2890
20170913,版合,2510
20170914,版合,603
20170915,版合,81
20170916,版合,336
20170917,版合,1566
20170918,版合,283
20170919,版合,3043
20170920,版合,1970
20170921,版合,1937
20170922,版合,1937
20170923,版合,1961
20170924,版合,1568
20170925,版合,303
20170926,版合,2668
20170927,版合,1900
20170928,版合,1703
20170929,版合,1895
20170930,版合,1940
20171001,版合,1982
20171002,版合,321
20171003,版合,828
20171004,版合,2908
20171005,版合,1709
20171006,版合,2045
20171007,版合,2031
20171008,版合,1776
20171009,版合,302
20171010,版合,2982
20171011,版合,2089
20171012,版合,2025
20171013,版合,2087
20171014,版合,2215
20171015,版合,1736
20171016,版合,310
20171017,版合,2964
20171018,版合,2145
20171019,版合,1981
20171020,版合,2112
20171021,版合,2352
20171022,版合,1885
20171023,版合,387
20171024,版合,3134
20171025,版合,2330
20171026,版合,2170
20171027,版合,2196
20171028,版合,2389
20171029,版合,1983
20171030,版合,324
20171031,版合,3228
20171101,版合,2551
20171102,版合,2324
20171103,版合,2427
20171104,版合,2611
20171105,版合,2073
20171106,版合,419
20171107,版合,3399
20171108,版合,2439
20171109,版合,2219
20171110,版合,2430
20171111,版合,2561
20171112,版合,2116
20171113,版合,350
20171114,版合,3378
20171115,版合,2485
20171116,版合,2323
20171117,版合,2323
20171118,版合,2462
20171119,版合,1994
20171120,版合,316
20171121,版合,3354
20171122,版合,2421
20171123,版合,2154
20171124,版合,2294
20171125,版合,2505
20171126,版合,1985
20171127,版合,325
20171128,版合,3339
20171129,版合,2320
20171130,版合,2158
20171201,版合,2496
20171202,版合,2427
20171203,版合,1925
20171204,版合,337
20171205,版合,3343
20171206,版合,2188
20171207,版合,2188
20171208,版合,2253
20171209,版合,2434
20171210,版合,1909
20171211,版合,286
20171212,版合,3299
20171213,版合,2376
20171214,版合,2049
20171215,版合,2268
20171216,版合,2565
20171217,版合,1916
20171218,版合,326
20171219,版合,3407
20171220,版合,2564
20171221,版合,2291
20171222,版合,2517
20171223,版合,2709
20171224,版合,2114
20171225,版合,249
20171226,版合,3354
20171227,版合,2569
20171228,版合,2376
20171229,版合,2445
20171230,版合,2693
20171231,版合,1837
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
,版合,
